data,model,sum_epts,calibrate,include_clinical,accuracy,accuracy_std,f1,f1_std,log_loss,log_loss_std,geometric_mean,geometric_mean_std,roc_auc,roc_auc_std,aupr,aupr_std,sensitivity,sensitivity_std,specificity,specificity_std,brier,brier_std,mcc,mcc_std,
epts,lgbm,,--calibrate,--include_clinical,0.498,0.043,0.056,0.060,0.351,0.067,0.159,0.191,0.537,0.095,0.083,0.036,0.154,0.274,0.843,0.261,0.099,0.021,-0.001,0.062,
epts,lgbm,--sum_epts,,,0.552,0.092,0.106,0.071,0.602,0.017,0.398,0.229,0.649,0.117,0.125,0.065,0.274,0.241,0.831,0.093,0.205,0.008,0.052,0.093,
epts,lgbm,--sum_epts,,--include_clinical,0.544,0.089,0.097,0.071,0.601,0.015,0.374,0.241,0.637,0.109,0.120,0.070,0.259,0.236,0.829,0.096,0.205,0.008,0.041,0.091,
epts,lgbm,--sum_epts,--calibrate,,0.575,0.110,0.121,0.073,0.516,0.080,0.465,0.226,0.649,0.117,0.125,0.065,0.390,0.292,0.761,0.149,0.174,0.031,0.073,0.108,
epts,lgbm,--sum_epts,--calibrate,--include_clinical,0.556,0.100,0.107,0.066,0.521,0.077,0.417,0.241,0.637,0.109,0.120,0.070,0.355,0.284,0.757,0.182,0.175,0.031,0.050,0.096,
epts,balanced_random_forest,,,,0.531,0.066,0.094,0.083,0.385,0.069,0.296,0.229,0.609,0.078,0.105,0.044,0.165,0.169,0.897,0.069,0.111,0.015,0.041,0.089,
epts,balanced_random_forest,,,--include_clinical,0.515,0.061,0.074,0.082,0.373,0.039,0.233,0.226,0.605,0.077,0.101,0.054,0.121,0.143,0.909,0.061,0.115,0.016,0.022,0.091,
epts,balanced_random_forest,,--calibrate,,0.542,0.068,0.111,0.073,0.416,0.070,0.414,0.187,0.609,0.078,0.105,0.044,0.299,0.224,0.784,0.158,0.130,0.028,0.050,0.081,
epts,balanced_random_forest,,--calibrate,--include_clinical,0.531,0.071,0.099,0.067,0.424,0.071,0.374,0.212,0.605,0.077,0.101,0.054,0.253,0.207,0.809,0.134,0.134,0.026,0.037,0.079,
epts,balanced_random_forest,--sum_epts,,,0.551,0.097,0.108,0.096,0.402,0.081,0.328,0.263,0.654,0.097,0.125,0.059,0.207,0.225,0.894,0.067,0.119,0.019,0.060,0.115,
epts,balanced_random_forest,--sum_epts,,--include_clinical,0.541,0.093,0.096,0.083,0.431,0.133,0.311,0.253,0.610,0.108,0.108,0.055,0.189,0.217,0.894,0.066,0.108,0.018,0.048,0.103,
epts,balanced_random_forest,--sum_epts,--calibrate,,0.560,0.086,0.115,0.076,0.451,0.074,0.423,0.229,0.654,0.097,0.125,0.059,0.315,0.242,0.805,0.127,0.144,0.031,0.063,0.091,
epts,balanced_random_forest,--sum_epts,--calibrate,--include_clinical,0.563,0.101,0.106,0.067,0.443,0.075,0.411,0.243,0.610,0.108,0.108,0.055,0.358,0.316,0.768,0.188,0.138,0.029,0.060,0.099,
